,alpha,lower,upper,mean,label
0,95.0,45.45352564102564,81.71052631578947,0.6420417575176979,Best Practices
1,95.0,95.91836734693877,100.0,0.9948979591836735,Design
2,95.0,95.91836734693877,100.0,0.9938775510204081,Error Prone
3,95.0,50.17344497607657,96.0,0.7531694394892334,Multithreading
4,95.0,72.61363636363637,96.45760743321719,0.8639182626828659,Performance
5,95.0,0.0,0.0,0.0,Security
6,95.0,54.50365726227796,95.02298850574712,0.790109050451723,jpinpoint-common-rules
7,95.0,6.481092436974791,72.27870813397126,0.34737938890464465,jpinpoint-concurrent-rules
8,95.0,0.0,68.54166666666664,0.25674494365283845,jpinpoint-spring-rules
9,95.0,0.0,0.0,0.0,jpinpoint-sql-rules
