,alpha,lower,upper,mean,label
0,95.0,66.59014897132502,73.00262711864407,0.6885814696437664,Best Practices
1,95.0,93.7189294072476,95.4526590198123,0.9456163996987179,Design
2,95.0,85.04626354971619,91.00705091318983,0.8918414843065339,Error Prone
3,95.0,37.25694444444444,51.25999999999999,0.44066848368005856,Multithreading
4,95.0,51.21172110775786,61.89094467176659,0.5618826328226466,Performance
5,95.0,0.0,0.0,0.0,Security
6,95.0,52.45387806342448,65.10039844126275,0.5934730946460307,jpinpoint-common-rules
7,95.0,26.414445499386336,36.63544840060929,0.3208379894246606,jpinpoint-concurrent-rules
8,95.0,9.218750000000004,59.201388888888886,0.3133349169048966,jpinpoint-spring-rules
9,95.0,0.0,0.0,0.0,jpinpoint-sql-rules
