,alpha,lower,upper,mean,label
0,95.0,52.609198900916695,60.42468212058449,0.5644405560404115,Best Practices
1,95.0,46.3955160858186,52.26474351923673,0.49167186440834476,Design
2,95.0,47.222289316568606,57.06169100820897,0.5230194924905818,Error Prone
3,95.0,55.5610972073555,64.98535992601003,0.6123816699164085,Multithreading
4,95.0,53.561752933076455,60.87987618568559,0.5686848099529026,Performance
5,95.0,0.0,0.0,0.0,Security
6,95.0,53.59583832804164,59.919120032407456,0.562479676200634,jpinpoint-common-rules
7,95.0,56.445792357971754,61.08442472211956,0.5880418513340714,jpinpoint-concurrent-rules
8,95.0,52.7304918001836,72.31405503042154,0.6269011877360589,jpinpoint-spring-rules
9,95.0,0.0,0.0,0.0,jpinpoint-sql-rules
