,alpha,lower,upper,mean,label
0,95.0,89.83333333333333,100.0,0.9788037634408603,Best Practices
1,95.0,93.33333333333333,100.0,0.991720430107527,Design
2,95.0,85.55947580645162,100.0,0.9648655913978497,Error Prone
3,95.0,57.10833333333334,95.92083333333333,0.8032774947441366,Multithreading
4,95.0,69.34583333333335,94.91379310344827,0.8401769875676995,Performance
5,95.0,0.0,0.0,0.0,Security
6,95.0,60.00663129973475,89.82758620689654,0.7439082925710429,jpinpoint-common-rules
7,95.0,40.43181818181819,86.57499999999999,0.7046077564058113,jpinpoint-concurrent-rules
8,95.0,0.0,0.0,0.0,jpinpoint-spring-rules
9,95.0,0.0,0.0,0.0,jpinpoint-sql-rules
