,alpha,lower,upper,mean,label
0,95.0,93.08333333333333,100.0,0.9694057219662057,Best Practices
1,95.0,91.91145833333333,100.0,0.9573454301075269,Design
2,95.0,93.64415322580646,100.0,0.9788968066370043,Error Prone
3,95.0,68.0,94.16666666666667,0.7758342270731812,Multithreading
4,95.0,68.58461538461539,94.62413793103448,0.8441159103873955,Performance
5,95.0,0.0,0.0,0.0,Security
6,95.0,82.375,100.0,0.923123408818489,jpinpoint-common-rules
7,95.0,56.24782608695652,85.83749999999999,0.7207473742885642,jpinpoint-concurrent-rules
8,95.0,0.0,0.0,0.0,jpinpoint-spring-rules
9,95.0,0.0,0.0,0.0,jpinpoint-sql-rules
