,alpha,lower,upper,mean,label
0,95.0,63.53010204081633,80.59895833333334,0.7270227807648524,Best Practices
1,95.0,94.97206703910615,99.7361111111111,0.9759235506474842,Design
2,95.0,85.3900304414003,94.0530679933665,0.8996702192982478,Error Prone
3,95.0,29.430379746835445,62.259887005649695,0.44055844994760596,Multithreading
4,95.0,30.099325337331333,62.49920051167253,0.47848310135783584,Performance
5,95.0,0.0,0.0,0.0,Security
6,95.0,44.96717171717172,72.20100105374078,0.6063006006749561,jpinpoint-common-rules
7,95.0,13.288504053058217,31.35416666666666,0.2127418829655885,jpinpoint-concurrent-rules
8,95.0,0.0,0.0,0.0,jpinpoint-spring-rules
9,95.0,0.0,0.0,0.0,jpinpoint-sql-rules
