,alpha,lower,upper,mean,label
0,95.0,41.985206582633054,59.12630560928432,0.5115434971506356,Best Practices
1,95.0,22.044198895027638,49.61065573770492,0.45729222195817,Design
2,95.0,40.877879954376965,54.10925971615208,0.4847435826231664,Error Prone
3,95.0,45.84522048534168,63.11926544465417,0.5517046230447125,Multithreading
4,95.0,46.9127335600403,63.63450957925596,0.5580752786059472,Performance
5,95.0,0.0,0.0,0.0,Security
6,95.0,44.47210401837518,60.1687891800883,0.5346233809468026,jpinpoint-common-rules
7,95.0,42.83585208158115,57.87454005466779,0.5183160639003703,jpinpoint-concurrent-rules
8,95.0,0.0,0.0,0.0,jpinpoint-spring-rules
9,95.0,0.0,0.0,0.0,jpinpoint-sql-rules
