,alpha,lower,upper,mean,label
0,95.0,48.89914349216674,77.82402989821882,0.6419334273912716,Best Practices
1,95.0,93.11452766959513,99.22131147540983,0.9635033628352587,Design
2,95.0,70.5499211770888,88.83305921052632,0.7790929756518387,Error Prone
3,95.0,25.838296605122096,60.96283027317509,0.4723647999653015,Multithreading
4,95.0,24.56081081081081,50.55851063829787,0.40209438352599153,Performance
5,95.0,0.0,0.0,0.0,Security
6,95.0,32.99824663939217,62.48939179632248,0.46668203703526745,jpinpoint-common-rules
7,95.0,17.14329268292683,48.71456822676335,0.3363634105309584,jpinpoint-concurrent-rules
8,95.0,0.0,0.0,0.0,jpinpoint-spring-rules
9,95.0,0.0,0.0,0.0,jpinpoint-sql-rules
